"CubeId";"babilhypisdpua"
"PublishingDate";"2020-09-24 09:00"

"Date";"INLANDAUSLAND";"BANKENGRUPPE";"Value"
"2004";"CHE1";"G15";"198889.559"
"2004";"CHE1";"G20";"64118.682"
"2004";"CHE1";"G25";"79471.579"
"2004";"ZH";"S10";"111805.016"
"2004";"ZH";"G10";"46999.278"
"2004";"ZH";"G15";"45759.648"
"2004";"ZH";"G20";"7510.176"
"2004";"ZH";"G25";"2439.744"
"2004";"BE";"S10";"66053.062"
"2004";"BE";"G10";"12490.948"
"2004";"BE";"G15";"25576.196"
"2004";"BE";"G20";"16391.437"
"2004";"BE";"G25";"6340.261"
"2004";"LU";"S10";"27910.176"
"2004";"LU";"G10";"11764.607"
"2004";"LU";"G15";"6694.046"
"2004";"LU";"G20";"4038.705"
"2004";"LU";"G25";"4397.726"
"2004";"UR";"S10";"2633.79"
"2004";"UR";"G10";"1497.718"
"2004";"UR";"G15";"501.109"
"2004";"UR";"G20";"9.657"
"2004";"UR";"G25";"610.142"
"2004";"SZ";"S10";"13615.576"
"2004";"SZ";"G10";"7587.531"
"2004";"SZ";"G15";"2807.585"
"2004";"SZ";"G20";"1527.709"
"2004";"SZ";"G25";"1453.84"
"2004";"OW";"S10";"3126.516"
"2004";"OW";"G10";"1992.656"
"2004";"OW";"G15";"464.837"
"2004";"OW";"G20";"115.397"
"2004";"OW";"G25";"511.611"
"2004";"NW";"S10";"3569.189"
"2004";"NW";"G10";"1810.991"
"2004";"NW";"G15";"782.431"
"2004";"NW";"G20";"14.506"
"2004";"NW";"G25";"868.803"
"2004";"GL";"S10";"2982.867"
"2004";"GL";"G10";"1840.688"
"2004";"GL";"G15";"611.927"
"2004";"GL";"G20";"302.295"
"2004";"GL";"G25";"209.607"
"2004";"ZG";"S10";"12015.673"
"2004";"ZG";"G10";"6761.805"
"2004";"ZG";"G15";"2636.937"
"2004";"ZG";"G20";"59.465"
"2004";"ZG";"G25";"2146.71"
"2004";"FR";"S10";"17433.538"
"2004";"FR";"G10";"5956.897"
"2004";"FR";"G15";"5676.142"
"2004";"FR";"G20";"1370"
"2004";"FR";"G25";"3836.536"
"2004";"SO";"S10";"22000.442"
"2004";"SO";"G10";"1996.485"
"2004";"SO";"G15";"6335.623"
"2004";"SO";"G20";"5961.271"
"2004";"SO";"G25";"6454.117"
"2004";"BS";"S10";"12976.675"
"2004";"BS";"G10";"5237.794"
"2004";"BS";"G15";"4718.023"
